high,last,created_at,book,volume,vwap,low,ask,bid,change_24
178198.74,171721.7,2020-02-27T08:39:32+00:00,btc_mxn,443.51266,170239.45495,165000.01,171807.76,171721.76,-4278.3
178198.74,171721.7,2020-02-27T08:40:32+00:00,btc_mxn,443.21207,170235.54817,165000.01,171807.76,171722.1,-4278.3
178198.74,171722.22,2020-02-27T08:41:32+00:00,btc_mxn,443.21343,170235.55271,165000.01,171807.76,171722.39,-4277.78
178198.74,171722.22,2020-02-27T08:42:32+00:00,btc_mxn,443.15659,170234.82057,165000.01,171807.76,171720.91,-4221.8
178198.74,171719.01,2020-02-27T08:43:33+00:00,btc_mxn,445.12783,170240.91038,165000.01,171803.9,171711.04,-4225.01
178198.74,171803.9,2020-02-27T08:44:33+00:00,btc_mxn,445.13481,170240.93491,165000.01,171803.9,171711.04,-4140.12
178198.74,171711.04,2020-02-27T08:45:33+00:00,btc_mxn,445.15365,170240.99711,165000.01,171803.9,171711.04,-4232.98
178198.74,171611.76,2020-02-27T08:46:33+00:00,btc_mxn,445.16089,170241.01939,165000.01,171713.57,171611.76,-3490.02
178198.74,171611.76,2020-02-27T08:47:33+00:00,btc_mxn,445.15559,170240.96152,165000.01,171713.57,171611.76,-3490.02
178198.74,171713.57,2020-02-27T08:48:34+00:00,btc_mxn,445.16043,170240.97751,165000.01,171713.57,171611.76,-3388.21
178198.74,171713.57,2020-02-27T08:49:34+00:00,btc_mxn,445.16043,170240.97751,165000.01,171713.57,171611.76,-3522.13
178198.74,171713.57,2020-02-27T08:50:33+00:00,btc_mxn,445.10389,170240.34304,165000.01,171713.57,171611.76,-3997.8
178198.74,171713.57,2020-02-27T08:51:34+00:00,btc_mxn,445.10104,170240.30806,165000.01,171713.57,171611.76,-3907.22
178198.74,171000.05,2020-02-27T08:52:34+00:00,btc_mxn,446.30494,170242.31413,165000.01,171117.04,171000.17,-4711.32
178198.74,171000.05,2020-02-27T08:53:35+00:00,btc_mxn,446.20779,170241.12333,165000.01,171117.04,171000.08,-4711.32
178198.74,171117.04,2020-02-27T08:54:35+00:00,btc_mxn,446.20808,170241.1239,165000.01,171117.04,171003.02,-4594.33
178198.74,171117.04,2020-02-27T08:55:35+00:00,btc_mxn,446.20808,170241.1239,165000.01,171117.04,171002.96,-4594.33
178198.74,171117.04,2020-02-27T08:56:35+00:00,btc_mxn,446.20808,170241.1239,165000.01,171117.04,171002.96,-4594.33
178198.74,171000,2020-02-27T08:57:36+00:00,btc_mxn,446.24135,170241.18048,165000.01,171117.04,171000,-4711.37
178198.74,171000,2020-02-27T08:58:36+00:00,btc_mxn,446.24135,170241.18048,165000.01,171117.04,171000,-4711.37
178198.74,171000,2020-02-27T08:59:36+00:00,btc_mxn,446.24258,170241.18273,165000.01,171117.04,171000,-4711.37
178198.74,170112.99,2020-02-27T09:00:36+00:00,btc_mxn,446.24346,170241.1838,165000.01,170247.58,170113.44,-5598.38
178198.74,170112.99,2020-02-27T09:01:37+00:00,btc_mxn,446.24346,170241.1838,165000.01,170247.58,170123.12,-5598.38
178198.74,170112.99,2020-02-27T09:02:37+00:00,btc_mxn,446.24346,170241.1838,165000.01,170247.58,170133.18,-5598.38
178198.74,170112.99,2020-02-27T09:03:37+00:00,btc_mxn,446.24346,170241.1838,165000.01,170247.58,170143.18,-6415.82
178198.74,170112.99,2020-02-27T09:04:37+00:00,btc_mxn,446.24207,170241.16425,165000.01,170247.58,170155.05,-6415.82
178198.74,170112.99,2020-02-27T09:05:38+00:00,btc_mxn,446.24207,170241.16425,165000.01,170247.58,170163.12,-6415.82
178198.74,170247.58,2020-02-27T09:06:38+00:00,btc_mxn,446.24276,170241.16426,165000.01,170247.58,170174.01,-6187.99
178198.74,170247.58,2020-02-27T09:07:38+00:00,btc_mxn,446.18626,170240.37977,165000.01,170247.58,170180.08,-6187.99
178198.74,170247.58,2020-02-27T09:08:38+00:00,btc_mxn,446.18649,170240.37977,165000.01,170247.58,170186.14,-6187.99
178198.74,170247.58,2020-02-27T09:09:39+00:00,btc_mxn,446.18649,170240.37977,165000.01,170247.58,170190.45,-6279.61
178198.74,170247.58,2020-02-27T09:10:39+00:00,btc_mxn,446.28256,170240.33899,165000.01,170305.58,170247.59,-6187.99
178198.74,170247.58,2020-02-27T09:11:39+00:00,btc_mxn,446.2794,170240.29868,165000.01,170305.58,170247.85,-6021.39
178198.74,170913.4,2020-02-27T09:12:39+00:00,btc_mxn,446.3523,170240.13527,165000.01,171007.03,170913.4,-5355.47
178198.74,171142.17,2020-02-27T09:13:40+00:00,btc_mxn,446.55156,170240.50732,165000.01,171227.94,171142.17,-5038.59
178198.74,171228,2020-02-27T09:14:39+00:00,btc_mxn,446.55234,170240.46189,165000.01,171362.37,171228,-4952.76
178198.74,171228,2020-02-27T09:15:40+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170326.06,-3873.05
178198.74,171228,2020-02-27T09:16:40+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170331.13,-3873.05
178198.74,171228,2020-02-27T09:17:41+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170335.05,-3873.05
178198.74,171228,2020-02-27T09:18:40+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170341.11,-3873.05
178198.74,171228,2020-02-27T09:19:41+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170351.06,-3873.05
178198.74,171228,2020-02-27T09:20:41+00:00,btc_mxn,445.51524,170229.14703,165000.01,170444.17,170355.12,-4230.5
178198.74,171228,2020-02-27T09:21:41+00:00,btc_mxn,445.51495,170229.14369,165000.01,170444.17,170359.3,-4230.5
178198.74,171228,2020-02-27T09:22:41+00:00,btc_mxn,445.51473,170229.14105,165000.01,170444.17,170370,-4230.5
178198.74,171228,2020-02-27T09:23:42+00:00,btc_mxn,445.51473,170229.14105,165000.01,170444.17,170376,-4230.5
